EventID,ChapterID,EventTitle,EventType,Venue,EventDate,Capacity
4001,3001,"AI and Machine Learning Workshop",Workshop,"Seminar Hall 1",2026-01-15,100
4002,3001,"Competitive Programming Contest",Competition,"Computer Lab 1",2026-01-22,80
4003,3001,"Web Development Bootcamp",Training,"Innovation Lab",2026-02-05,70
4004,3001,"Cloud Computing Seminar",Seminar,Auditorium,2026-02-18,150
4005,3001,"Software Engineering Practices","Guest Lecture","Seminar Hall 2",2026-03-04,100
4006,3001,"Open Source Contribution Drive",Workshop,"Computer Lab 2",2026-03-19,60
4007,3001,"Full Stack Development Hackathon",Hackathon,"Innovation Lab",2026-04-10,120
4008,3001,"Cyber Security Awareness Seminar",Seminar,Auditorium,2026-05-06,180
4009,3001,"Python for Data Applications",Workshop,"Computer Lab 1",2026-06-12,90
4010,3001,"Software Project Showcase",Conference,"Seminar Hall 1",2026-07-03,150
4011,3002,"Generative AI Seminar",Seminar,Auditorium,2026-01-20,180
4012,3002,"Deep Learning Fundamentals",Workshop,"AI Lab",2026-02-03,80
4013,3002,"Natural Language Processing Workshop",Workshop,"AI Lab",2026-02-20,90
4014,3002,"Computer Vision with Deep Learning",Training,"AI Lab",2026-03-06,70
4015,3002,"Intelligent Systems Guest Lecture","Guest Lecture","Seminar Hall 2",2026-03-24,120
4016,3002,"Machine Learning Model Challenge",Competition,"Computer Lab 2",2026-04-14,75
4017,3002,"Data Analytics with Python",Workshop,"Computer Lab 1",2026-05-08,100
4018,3002,"Explainable AI Seminar",Seminar,Auditorium,2026-06-05,160
4019,3002,"Reinforcement Learning Workshop",Workshop,"AI Lab",2026-06-26,80
4020,3002,"AI Innovation Hackathon",Hackathon,"Innovation Lab",2026-07-17,120
4021,3003,"Robotics and Automation Workshop",Workshop,"Robotics Lab",2026-01-28,60
4022,3003,"Autonomous Robot Challenge",Competition,"College Ground",2026-02-12,70
4023,3003,"ROS2 Fundamentals Workshop",Workshop,"Robotics Lab",2026-02-27,60
4024,3003,"Industrial Robotics Seminar",Seminar,Auditorium,2026-03-12,140
4025,3003,"Drone Technology Guest Lecture","Guest Lecture","Seminar Hall 1",2026-03-30,110
4026,3003,"Computer Vision for Robots",Training,"Robotics Lab",2026-04-22,55
4027,3003,"Autonomous Drone Challenge",Competition,"College Ground",2026-05-15,80
4028,3003,"Industrial Automation Hackathon",Hackathon,"Innovation Lab",2026-06-10,100
4029,3003,"Mobile Robot Navigation Workshop",Workshop,"Robotics Lab",2026-07-01,60
4030,3003,"Future of Robotics Seminar",Seminar,Auditorium,2026-07-24,160
4031,3004,"Computer Networks Guest Lecture","Guest Lecture","Seminar Hall 2",2026-01-30,100
4032,3004,"Network Security Workshop",Workshop,"Networking Lab",2026-02-16,70
4033,3004,"Wireless Communication Seminar",Seminar,Auditorium,2026-03-03,150
4034,3004,"Routing and Switching Workshop",Workshop,"Networking Lab",2026-03-20,65
4035,3004,"5G Technology Seminar",Seminar,"Seminar Hall 1",2026-04-08,140
4036,3004,"Network Simulation Training",Training,"Networking Lab",2026-04-28,60
4037,3004,"IoT Communication Workshop",Workshop,"IoT Lab",2026-05-20,75
4038,3004,"Next Generation Networks Conference",Conference,Auditorium,2026-06-18,200
4039,3004,"SDN and Network Automation",Workshop,"Networking Lab",2026-07-08,70
4040,3004,"Future Networks Hackathon",Hackathon,"Innovation Lab",2026-08-01,110
4041,3005,"Digital Signal Processing Workshop",Workshop,"Electronics Lab",2026-01-25,55
4042,3005,"Audio Signal Processing Seminar",Seminar,"Seminar Hall 1",2026-02-09,100
4043,3005,"Image Processing with Python",Workshop,"Computer Lab 2",2026-02-25,80
4044,3005,"Speech Processing Guest Lecture","Guest Lecture",Auditorium,2026-03-15,130
4045,3005,"MATLAB for Signal Processing",Training,"Electronics Lab",2026-04-03,60
4046,3005,"Biomedical Signal Analysis Workshop",Workshop,"Electronics Lab",2026-04-18,65
4047,3005,"Computer Vision and Image Analytics",Seminar,"Seminar Hall 2",2026-05-12,120
4048,3005,"Digital Filter Design Workshop",Workshop,"Electronics Lab",2026-06-03,55
4049,3005,"Signal Processing Innovation Challenge",Competition,"Innovation Lab",2026-06-30,70
4050,3005,"Advanced Signal Processing Seminar",Seminar,Auditorium,2026-08-10,150
4051,3006,"Agile Software Development Workshop",Workshop,"Seminar Hall 1",2026-01-18,100
4052,3006,"Software Testing and Quality Assurance",Training,"Computer Lab 1",2026-02-06,80
4053,3006,"DevOps Practices Seminar",Seminar,Auditorium,2026-02-23,150
4054,3006,"Git and GitHub Workshop",Workshop,"Computer Lab 2",2026-03-10,90
4055,3006,"Requirements Engineering Guest Lecture","Guest Lecture","Seminar Hall 2",2026-03-27,110
4056,3006,"Software Architecture Workshop",Workshop,"Seminar Hall 1",2026-04-16,100
4057,3006,"Mobile App Development Hackathon",Hackathon,"Innovation Lab",2026-05-09,120
4058,3006,"Cloud DevOps Bootcamp",Training,"Computer Lab 1",2026-06-16,75
4059,3006,"Software Design Patterns Seminar",Seminar,Auditorium,2026-07-14,140
4060,3006,"Software Engineering Project Expo",Conference,"Seminar Hall 1",2026-08-20,180
4061,3007,"Data Visualization with Python",Workshop,"Data Science Lab",2026-01-21,80
4062,3007,"Business Analytics Seminar",Seminar,Auditorium,2026-02-11,130
4063,3007,"SQL Analytics Workshop",Workshop,"Computer Lab 1",2026-02-26,90
4064,3007,"Exploratory Data Analysis Training",Training,"Data Science Lab",2026-03-17,75
4065,3007,"Statistical Computing Guest Lecture","Guest Lecture","Seminar Hall 2",2026-04-02,120
