FeedbackID,StudentID,EventID,Rating,Comments
7001,1023,4001,5,Excellent session with practical examples and clear explanations.
7002,1034,4001,5,Very informative and engaging event with useful technical insights.
7003,1045,4001,5,Well organized session with strong hands-on learning.
7004,1067,4001,5,Great event; the demonstrations made the concepts easy to understand.
7005,1078,4001,5,Excellent session with practical examples and clear explanations.
7006,1089,4001,4,Well conducted event with relevant technical content.
7007,1018,4002,4,Good learning experience with practical takeaways.
7008,1040,4002,4,Informative and engaging session with minor scope for more hands-on work.
7009,1062,4002,4,Very useful session with good explanations and examples.
7010,1106,4002,3,"Useful session with relevant content, although more practical work would help."
7011,1035,4003,5,Well organized session with strong hands-on learning.
7012,1046,4003,5,Great event; the demonstrations made the concepts easy to understand.
7013,1068,4003,5,Excellent session with practical examples and clear explanations.
7014,1079,4003,5,Very informative and engaging event with useful technical insights.
7015,1090,4003,5,Well organized session with strong hands-on learning.
7016,1112,4003,4,Informative and engaging session with minor scope for more hands-on work.
7017,1003,4003,4,Very useful session with good explanations and examples.
7018,1014,4003,4,Well conducted event with relevant technical content.
7019,1085,4004,4,Good learning experience with practical takeaways.
7020,1107,4004,3,The event was informative and could be improved with additional demonstrations.
7021,1009,4004,5,Excellent session with practical examples and clear explanations.
7022,1069,4005,5,Very informative and engaging event with useful technical insights.
7023,1080,4005,5,Well organized session with strong hands-on learning.
7024,1091,4005,5,Great event; the demonstrations made the concepts easy to understand.
7025,1113,4005,5,Excellent session with practical examples and clear explanations.
7026,1004,4005,4,Well conducted event with relevant technical content.
7027,1015,4005,4,Good learning experience with practical takeaways.
7028,1037,4005,4,Informative and engaging session with minor scope for more hands-on work.
7029,1048,4005,4,Very useful session with good explanations and examples.
7030,1086,4006,3,"Good overall experience, with some topics needing more detailed explanation."
7031,1108,4006,5,Well organized session with strong hands-on learning.
7032,1119,4006,5,Great event; the demonstrations made the concepts easy to understand.
7033,1010,4006,5,Excellent session with practical examples and clear explanations.
7034,1032,4006,5,Very informative and engaging event with useful technical insights.
7035,1043,4006,5,Well organized session with strong hands-on learning.
7036,1054,4006,4,Informative and engaging session with minor scope for more hands-on work.
7037,1114,4007,4,Very useful session with good explanations and examples.
7038,1016,4007,4,Well conducted event with relevant technical content.
7039,1038,4007,4,Good learning experience with practical takeaways.
7040,1082,4007,3,"Useful session with relevant content, although more practical work would help."
7041,1120,4008,5,Excellent session with practical examples and clear explanations.
7042,1011,4008,5,Very informative and engaging event with useful technical insights.
